id,label
10000,0.999642849
10001,2.73571828302011E-07
10002,7.53016356611624E-05
10003,0.9973765612
10004,0.9891084433
10005,1.46197471906362E-08
10006,1.00442392181321E-07
10007,5.85675616093795E-06
10008,6.17362093180418E-06
10009,1.57710700054992E-09
1000,0.997843802
10010,0.9999725819
10011,0.9999460578
10012,2.03629060280264E-08
10013,0.0001345061
10014,6.57035707263276E-06
10015,0.999073863
10016,0.000262828
10017,0.000001625
10018,0.000006712
10019,7.19605714039062E-06
1001,5.31109574722355E-12
10020,4.64105653463776E-07
10021,1.75724362634355E-05
10022,0.9999120235
10023,0.9999848604
10024,0.999979198
10025,0.9999554157
10026,0.9909992218
10027,0.9999932051
10028,2.76546302302449E-06
10029,0.9990211129
1002,0.9995543957
10030,0.9999886751
10031,0.003922123
10032,0.0289459936
10033,9.65582585195079E-05
10034,0.9999967217
10035,0.999956131
10036,0.999997139
10037,0.0752710924
10038,0.9999185205
10039,0.9999805689
1003,0.9999616742
10040,2.86264366877731E-06
10041,0.9999998808
10042,0.6400819421
10043,1
10044,6.63985986193438E-08
10045,0.9988681674
10046,0.9753195643
10047,0.9999978542
10048,0.9999687672
10049,2.88892920252692E-07
1004,0.999992013
10050,0.0003078664
10051,0.0012409855
10052,4.72332749268389E-06
10053,0.9922739267
10054,0.0003440345
10055,7.92892473899798E-10
10056,0.9999895692
10057,0.0022024047
10058,0.9999506474
10059,0.9973602891
1005,0.000000192
10060,0.9999634027
10061,0.0156324208
10062,2.48530795943225E-05
10063,0.9998975396
10064,0.9999895692
10065,0.0328432582
10066,0.1141599119
10067,6.07441188549274E-06
10068,0.000000226
10069,6.19298152741976E-05
1006,0.9999842048
10070,0.9999289513
10071,2.10803027584916E-05
10072,6.35971737210639E-05
10073,0.7114236951
10074,6.24964835438391E-09
10075,0.14537552
10076,6.72855478001111E-08
10077,0.0018094081
10078,0.9999845028
10079,1.15825578177464E-05
1007,0.9999861121
10080,0.9999875426
10081,0.0240745042
10082,2.81434040516615E-07
10083,1.58984008180596E-08
10084,0.9999999404
10085,0.9999906421
10086,0.9999804497
10087,0.9998855591
10088,6.79323857184499E-05
10089,2.19760822801618E-05
1008,1.02133117252379E-05
10090,7.24169294699095E-05
10091,0.000208867
10092,0.9972119331
10093,0.0717725307
10094,0.9999904633
10095,1.27966995933093E-06
10096,0.9999879003
10097,0.999999702
10098,0.999999702
10099,1.13755227459933E-08
1009,0.9999804497
100,0.0035426917
10100,0.9999909401
10101,0.999997735
10102,1.57109241172293E-07
10103,5.25793154793064E-07
10104,0.9999893904
10105,0.9998455048
10106,3.64221814379562E-05
10107,0.000000136
10108,0.8477111459
10109,3.39778011948511E-07
1010,0.9999594688
10110,0.9992873073
10111,0.000000609
10112,1.10186374513432E-06
10113,0.9999130964
10114,0.000001215
10115,4.0512748000765E-07
10116,0.9997721314
10117,0.001031077
10118,0.0012513339
10119,0.9999957681
1011,0.0550007373
10120,3.37703058903571E-05
10121,0.0013813386
10122,1.41057254765542E-08
10123,0.0008705407
10124,0.9997359514
10125,0.1984999478
10126,0.0003026902
10127,0.9997316599
10128,3.43683677783702E-05
10129,0.9997830987
1012,0.9960442781
10130,0.000000069
10131,0.9996540546
10132,2.46231866185553E-06
10133,0.0002752005
10134,0.9998881221
10135,0.9999419451
10136,0.9999093413
10137,5.50881122762803E-05
10138,0.9999895692
10139,0.9999280572
1013,1.00840624739362E-08
10140,0.9993530512
10141,0.9999927282
10142,0.9508301616
10143,0.9998440146
10144,0.9998810291
10145,4.17526553064818E-06
10146,0.9999401569
10147,0.999968946
10148,0.9704235792
10149,1.49127330928422E-07
1014,0.9999988079
10150,0.0019147019
10151,4.84137235616799E-05
10152,1.58386137627531E-06
10153,0.9996871948
10154,9.71262634266168E-05
10155,0.9999989867
10156,0.013582957
10157,0.0466051623
10158,2.84019938590063E-06
10159,0.9924035072
1015,1.41673499456374E-05
10160,3.48601965072248E-08
10161,0.000051953
10162,0.9999634027
10163,0.9999912977
10164,0.9997938275
10165,0.9940209985
10166,0.9999942183
10167,0.999992609
10168,0.8609011173
10169,0.9999993443
1016,0.2980872393
10170,6.45432862711459E-08
10171,1.71752432720496E-07
10172,0.999997139
10173,7.33273736841511E-07
10174,2.81989036921004E-06
10175,0.0009354986
10176,0.9999785423
10177,0.9993166327
10178,0.043804504
10179,0.9997335672
1017,1.37190841087431E-06
10180,0.0006016528
10181,0.9999964237
10182,0.0005696134
10183,0.0001431761
10184,4.01463584598361E-10
10185,0.9999361038
10186,0.983571589
10187,0.9999993443
10188,7.47579042581492E-06
10189,0.9999997616
1018,0.9997014403
10190,0.9996383786
10191,3.15159560670963E-08
10192,0.6906023026
10193,1.84227592399111E-05
10194,0.000000021
10195,0.9999983907
10196,0.8489168882
10197,0.999997437
10198,0.000000005
10199,1.21964012578246E-05
1019,0.9999808073
101,2.81295507720269E-11
10200,4.63844407931902E-05
10201,0.00000321
10202,0.999899745
10203,0.999999702
10204,2.5428030880903E-07
10205,2.57933425018564E-05
10206,0.000179842
10207,0.9999786615
10208,0.9998078942
10209,0.9999957085
1020,0.0020489262
10210,6.53279264017925E-10
10211,6.74057616834034E-07
10212,0.0005248364
10213,0.7602847219
10214,0.9999985099
10215,3.77871288037568E-07
10216,0.9998139143
10217,0.9248844385
10218,1.28823444356385E-06
10219,0.0002369986
1021,0.0582869053
10220,0.9999661446
10221,0.9299497604
10222,0.9907503724
10223,7.52473715692759E-05
10224,0.00709162
10225,0.0001849734
10226,0.075798437
10227,1.78860233290834E-08
10228,0.0020603852
10229,0.0004490877
1022,5.15055144205689E-05
10230,0.2806646228
10231,0.9995877743
10232,0.9999922514
10233,0.9993962646
10234,2.12856157304486E-05
10235,0.000000015
10236,1.33825324155623E-07
10237,9.35610046326474E-07
10238,0.9997496009
10239,5.48874425021495E-07
1023,1.04586308680155E-06
10240,0.000000288
10241,0.9999594092
10242,0.9999969602
10243,0.9980407953
10244,0.9999914169
10245,0.9999990463
10246,0.8989152908
10247,0.9998933077
10248,5.69266376260202E-05
10249,0.9999094009
1024,0.0005291663
10250,0.000002467
10251,0.9997295141
10252,2.57503152134575E-09
10253,0.9990366697
10254,0.9999993443
10255,0.9999850392
10256,0.9998483658
10257,0.0003089693
10258,0.9993848205
10259,0.9999970794
1025,8.83052493350078E-08
10260,0.0001797416
10261,0.9999848604
10262,0.9996225834
10263,0.9999989867
10264,3.05696830696367E-12
10265,0.0004536499
10266,5.27767269886681E-06
10267,1.83449770929656E-07
10268,0.9999932647
10269,0.9994924068
1026,0.0004049236
10270,0.00000036
10271,0.9999871254
10272,0.0128182126
10273,2.5713652576087E-05
10274,8.02913007191819E-08
10275,0.9994168282
10276,5.30500765307806E-05
10277,0.8534772396
10278,3.17347003147006E-05
10279,0.9999964833
1027,3.86341569846849E-10
10280,0.996000886
10281,0.9999733567
10282,0.6883561015
10283,0.999884367
10284,0.9995330572
10285,0.9996699095
10286,1.03900774206522E-07
10287,3.23183684258765E-07
10288,0.000000292
10289,0.0001696293
1028,3.44329455401748E-05
10290,0.9995929599
10291,0.9937397838
10292,0.000002952
10293,0.9999046922
10294,4.61417002952658E-05
10295,1.72942654899089E-05
10296,0.0001716017
10297,0.9999989867
10298,0.9999340773
10299,0.0003154867
1029,0.0167341325
102,0.9999981523
10300,0.9999988675
10301,1.02082294688444E-05
